name,name_of_building,Super_Area,Under_Construction,Transaction,Furnishing,Bathroom,price,builder
"3 BHK Apartment for Sale in Planner N Maker Homes, Uttam Nagar West New Delhi",,"SUPER AREA
1200 sqft","STATUS
Ready to Move","FLOOR
6 out of 8","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"2 BHK Apartment for Sale in DLF Midtown Plaza, Block A New Moti Nagar New Delhi",,"SUPER AREA
1650 sqft","STATUS
Ready to Move","FLOOR
1 out of 1","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
2 BHK Builder Floor for Sale in Raj Nagar 2 Extension New Delhi,,"SUPER AREA
110 sqft","STATUS
Ready to Move","FLOOR
Ground out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"2 BHK Apartment for Sale in DDA Sanskriti Apartments, Sector 19 Dwarka New Delhi",,"SUPER AREA
800 sqft","STATUS
Ready to Move","FLOOR
4 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,,"SUPER AREA
600 sqft","STATUS
Ready to Move","FLOOR
1 out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Godrej South Estate, Okhla New Delhi",,"SUPER AREA
950 sqft","STATUS
Ready to Move","FLOOR
Ground out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Defence Colony New Delhi,,"SUPER AREA
800 sqft","STATUS
Ready to Move","FLOOR
1 out of 7","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"2 BHK Apartment for Sale in Godrej South Estate, Okhla New Delhi",,"SUPER AREA
950 sqft","STATUS
Ready to Move","FLOOR
2 out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"2 BHK Builder Floor for Sale in Gupta Arcade Paschim Puri, Block A Paschim Vihar New Delhi",,"SUPER AREA
1500 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Furnished",,
"3 BHK Apartment for Sale in Godrej Connaught One, DIZ Staff Quarters New Delhi",,"SUPER AREA
1000 sqft","STATUS
Ready to Move","FLOOR
Ground out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in Godrej Prima, Okhla Phase 1 New Delhi",,"SUPER AREA
1050 sqft","STATUS
Ready to Move","FLOOR
2 out of 7","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in Godrej South Estate, Okhla New Delhi",,"SUPER AREA
950 sqft","STATUS
Ready to Move","FLOOR
3 out of 3","TRANSACTION
Resale","FURNISHING
Unfurnished",,
2 BHK Builder Floor for Sale in Dwarka Mor New Delhi,,"SUPER AREA
1100 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Godrej South Estate, Okhla New Delhi",,"SUPER AREA
1100 sqft","STATUS
Ready to Move","FLOOR
3 out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"2 BHK Apartment for Sale in Godrej South Estate, Block A Okhla New Delhi",,"SUPER AREA
1050 sqft","STATUS
Ready to Move","FLOOR
3 out of 3","TRANSACTION
New Property","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Godrej South Estate, Okhla New Delhi",,"SUPER AREA
800 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,,"SUPER AREA
1250 sqft","STATUS
Ready to Move","FLOOR
3 out of 3","TRANSACTION
Resale","FURNISHING
Furnished",,
3 BHK Builder Floor for Sale in Sector 11 Rohini New Delhi,,"SUPER AREA
1035 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
New Property","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Krishna Nagar New Delhi,,"SUPER AREA
1000 sqft","STATUS
Ready to Move","FLOOR
6 out of 9","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Godrej Connaught One, Connaught Place New Delhi",,"SUPER AREA
1525 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
2 BHK Builder Floor for Sale in Phase 3 Model Town New Delhi,,"SUPER AREA
1650 sqft","STATUS
Ready to Move","FLOOR
4 out of 8","TRANSACTION
Resale","FURNISHING
Furnished",,
3 BHK Builder Floor for Sale in Block 2 Subhash Nagar New Delhi,,"SUPER AREA
1010 sqft","STATUS
Ready to Move","FLOOR
2 out of 7","TRANSACTION
New Property","FURNISHING
Unfurnished",,
3 BHK Apartment for Sale in Vishnu Garden New Delhi,,"SUPER AREA
1400 sqft","STATUS
Ready to Move","FLOOR
Ground out of 2","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"2 BHK Apartment for Sale in DDA Flats Sector C Pocket 9, Vasant Kunj New Delhi",,"CARPET AREA
1500 sqft","STATUS
Ready to Move","FLOOR
3 out of 3","TRANSACTION
Resale","FURNISHING
Furnished",,
"3 BHK Apartment for Sale in Bahawalpur Apartment, Sector 4 Dwarka New Delhi",,"CARPET AREA
2700 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
2 BHK Apartment for Sale in Block X10 West Patel Nagar New Delhi,,"CARPET AREA
700 sqft","STATUS
Ready to Move","FLOOR
8 out of 9","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Empire Apartment, Patel Garden, Dwarka New Delhi",,"SUPER AREA
1900 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"2 BHK Apartment for Sale in Om Apartments, Sector 14 Dwarka New Delhi",,"SUPER AREA
90 sqyrd","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in Shivalika Apartments, Dwarka Sector 9 New Delhi",,"SUPER AREA
65 sqyrd","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in Seema Apartments, Sector 11 Dwarka New Delhi",,"CARPET AREA
500 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Block AB Poorbi Shalimar Bag New Delhi,,"SUPER AREA
690 sqft","STATUS
Ready to Move","FLOOR
2 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar New Delhi",,"SUPER AREA
104 sqm","STATUS
Ready to Move","FLOOR
1 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Naraina Vihar New Delhi,,"SUPER AREA
1100 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Sawasdee Heights, Lawrence Road New Delhi",,"CARPET AREA
95 sqyrd","STATUS
Ready to Move","FLOOR
3 out of 3","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in DDA Nandan Apartment, Phase 1 Ashok Vihar New Delhi",,"CARPET AREA
1000 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
2 BHK Builder Floor for Sale in Raja Puri Matiala New Delhi,,"SUPER AREA
150 sqyrd","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
New Property","FURNISHING
Semi-Furnished",,
"2 BHK Apartment for Sale in DDA MIG Flats, Sector 29 Rohini New Delhi",,"CARPET AREA
1100 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Apartment for Sale in Mohan Garden Uttam Nagar New Delhi,,"CARPET AREA
38 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
2 BHK Builder Floor for Sale in Palam Colony Palam New Delhi,,"CARPET AREA
68 sqyrd","STATUS
Ready to Move","FLOOR
Ground out of 4","TRANSACTION
Resale","FURNISHING
Furnished",,
"2 BHK Apartment for Sale in DDA LIG Apartment, Uttari Pitampura New Delhi",,"SUPER AREA
100 sqft","STATUS
Ready to Move","FLOOR
2 out of 3","TRANSACTION
Resale","FURNISHING
Furnished",,
"3 BHK Apartment for Sale in Beverly Hills Apartments, Geeta Colony New Delhi",,"CARPET AREA
725 sqft","STATUS
Ready to Move","FLOOR
2 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Anandlok Housing Society, Mayur Vihar 1 New Delhi",,"SUPER AREA
70 sqyrd","STATUS
Ready to Move","FURNISHING
Furnished","BATHROOM
2","FURNISHING
Unfurnished",,
3 BHK Apartment for Sale in Sector 15 Rohini New Delhi,,"SUPER AREA
1580 sqft","TRANSACTION
Resale","FLOOR
2 out of 3","TRANSACTION
Resale","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Mukherjee Nagar New Delhi,,"SUPER AREA
713 sqft","STATUS
Ready to Move","FLOOR
1 out of 1","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
2 BHK Builder Floor for Sale in New Delhi,,"SUPER AREA
60 sqyrd","STATUS
Ready to Move","FLOOR
1 out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
2 BHK Apartment for Sale in Vijay Vihar New Delhi,,"SUPER AREA
1600 sqft","STATUS
Ready to Move","FLOOR
1 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Godrej South Estate, Okhla Vihar, Okhla New Delhi",,"SUPER AREA
820 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Builder Floor for Sale in RWA Malviya Nagar, Malviya Nagar New Delhi",,"SUPER AREA
65 sqyrd","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Block A2 Janakpuri New Delhi,,"SUPER AREA
66 sqyrd","STATUS
Ready to Move","FLOOR
1 out of 1","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Builder Floor for Sale in Moti Nagar, Kirti Nagar New Delhi",,"SUPER AREA
60 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","SOCIETY
Palm Green",,
"3 BHK Builder Floor for Sale in Vipin Garden, Nawada New Delhi",,"SUPER AREA
105 sqyrd","STATUS
Ready to Move","FURNISHING
Furnished","BATHROOM
3","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Block B3 Paschim Vihar New Delhi,,"SUPER AREA
175 sqyrd","TRANSACTION
Resale","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"2 BHK Builder Floor for Sale in Budella, Vikaspuri New Delhi",,"CARPET AREA
950 sqft","STATUS
Ready to Move","FURNISHING
Furnished","BATHROOM
1","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Sector 23 Rohini New Delhi,,"SUPER AREA
100 sqft","TRANSACTION
Resale","FURNISHING
Semi-Furnished","BATHROOM
2","FURNISHING
Semi-Furnished",,
3 BHK Apartment for Sale in Sector C Vasant Kunj New Delhi,,"SUPER AREA
83 sqyrd","TRANSACTION
Resale","FLOOR
1 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Azad Hind Apartments, Dwarka Sector 9 New Delhi",,"SUPER AREA
72 sqyrd","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,,"SUPER AREA
1300 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Semi-Furnished","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Airlines Apartments, Sector 23 Dwarka New Delhi",,"SUPER AREA
1100 sqft","FLOOR
2 out of 4","FLOOR
2 out of 3","TRANSACTION
Resale","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Sector 3 Rohini New Delhi,,"SUPER AREA
1100 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Parsvnath Paramount, Subhash Nagar New Delhi",,"SUPER AREA
1200 sqft","STATUS
Ready to Move","FLOOR
3 out of 7","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
2 BHK Apartment for Sale in Matiala Extension New Delhi,,"SUPER AREA
1350 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in Antriksh Shivalik Apartments, Sector 6 Dwarka New Delhi",,"SUPER AREA
1350 sqft","STATUS
Ready to Move","FLOOR
1 out of 3","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Builder Floor for Sale in Bhogal, Jangpura New Delhi",,"SUPER AREA
1000 sqft","STATUS
Ready to Move","FLOOR
1 out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in New Friends Colony New Delhi,,"SUPER AREA
1400 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FACING
East",,
"3 BHK Apartment for Sale in DDA Flats Sector C Pocket 8, Vasant Kunj New Delhi",,"SUPER AREA
750 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"2 BHK Apartment for Sale in South Delhi Premium Builder Floors , Sri Niwaspuri New Delhi",,"CARPET AREA
90 sqm","STATUS
Ready to Move","FLOOR
5 out of 7","TRANSACTION
Resale","FURNISHING
Unfurnished",,
3 BHK Villa for Sale in Jyoti Colony New Delhi,,"CARPET AREA
1250 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"2 BHK Apartment for Sale in DDA Flats Sector 19, Dwarka New Delhi",,"CARPET AREA
1248 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"2 BHK Apartment for Sale in Neelkanth Apartment II, Sant Nagar Burari New Delhi",,"CARPET AREA
97 sqyrd","STATUS
Ready to Move","FLOOR
3 out of 3","TRANSACTION
Resale","FURNISHING
Furnished",,
2 BHK Builder Floor for Sale in Mahavir Enclave Part 1 New Delhi,,"CARPET AREA
560 sqft","STATUS
Ready to Move","FLOOR
1 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"2 BHK Apartment for Sale in Siddhartha Extension Pocket B, Maharani Bagh, New Friends Colony New Delhi",,"CARPET AREA
900 sqft","STATUS
Ready to Move","TRANSACTION
Resale","FURNISHING
Semi-Furnished","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Block B1 Janakpuri New Delhi,,"CARPET AREA
1000 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in DDA Atulya Apartment, Sector 18 Dwarka New Delhi",,"CARPET AREA
700 sqft","STATUS
Ready to Move","FLOOR
Ground out of 4","TRANSACTION
Resale","BATHROOM
2",,
3 BHK Apartment for Sale in Ashok Mohalla Nangloi New Delhi,,"CARPET AREA
1500 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Uttam Nagar New Delhi,,"CARPET AREA
10 sqft","STATUS
Ready to Move","FLOOR
1 out of 2","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"2 BHK House for Sale in Indra Park Palam, Manglapuri New Delhi",,"CARPET AREA
1400 sqft","STATUS
Ready to Move","FLOOR
Ground out of 2","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
2 BHK Apartment for Sale in Sangam Vihar New Delhi,,"SUPER AREA
1400 sqft","STATUS
Ready to Move","FLOOR
2 out of 2","TRANSACTION
Resale","FURNISHING
Unfurnished",,
2 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi,,"SUPER AREA
233 sqyrd","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Furnished",,
"3 BHK Apartment for Sale in TARC Tripundra, Bijwasan New Delhi",,"CARPET AREA
900 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FACING
North - East",,
3 BHK Builder Floor for Sale in Rajouri Garden New Delhi,,"CARPET AREA
125 sqft","STATUS
Ready to Move","TRANSACTION
Resale","FURNISHING
Semi-Furnished","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Chittaranjan Park New Delhi,,"CARPET AREA
50 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,,"SUPER AREA
892 sqft","STATUS
Ready to Move","FLOOR
2 out of 3","TRANSACTION
Resale","FACING
North - West",,
3 BHK Builder Floor for Sale in Janakpuri New Delhi,,"CARPET AREA
1800 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
2 BHK Builder Floor for Sale in Block 5 Subhash Nagar New Delhi,,"CARPET AREA
900 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale",,,
"2 BHK Apartment for Sale in Ekta Apartment, Geeta Colony New Delhi",,"CARPET AREA
230 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale",,,
2 BHK Apartment for Sale in Block B3 Paschim Vihar New Delhi,,"CARPET AREA
2000 sqft","STATUS
Ready to Move","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,,
3 BHK Builder Floor for Sale in Block H Kirti Nagar New Delhi,,"SUPER AREA
1500 sqft","STATUS
Ready to Move","FLOOR
Ground out of 5","TRANSACTION
Resale",,,
"3 BHK Apartment for Sale in Deshbandhu Apartments, Kalkaji New Delhi",,"CARPET AREA
65 sqft","STATUS
Ready to Move","FLOOR
1 out of 3","TRANSACTION
Resale",,,
"3 BHK Builder Floor for Sale in Rani Bagh, Pitam Pura New Delhi",,"CARPET AREA
100 sqyrd","STATUS
Ready to Move","TRANSACTION
Resale","FURNISHING
Furnished",,,
"3 BHK Apartment for Sale in Satyam Apartment, Vasundhara Enclave New Delhi",,"SUPER AREA
850 sqft","FLOOR
3 out of 3","FLOOR
Ground out of 4","TRANSACTION
Resale",,,
2 BHK Apartment for Sale in Phase 2 Sheikh Sarai New Delhi,,"SUPER AREA
1050 sqft","STATUS
Ready to Move",,,,,
2 BHK Apartment for Sale in Narela New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Ramesh Nagar New Delhi,,,,,,,,
2 BHK Builder Floor for Sale in Dwarka Mor New Delhi,,,,,,,,
2 BHK Apartment for Sale in Sector 16 Rohini New Delhi,,,,,,,,
2 BHK Builder Floor for Sale in Ashok Nagar New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Green Park New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Phase 2 Chhatarpur Enclave New Delhi,,,,,,,,
3 BHK Apartment for Sale in Dilshad Garden New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Defence Colony New Delhi,,,,,,,,
2 BHK Builder Floor for Sale in Punjabi Bagh New Delhi,,,,,,,,
2 BHK Builder Floor for Sale in Vishwas Park New Delhi,,,,,,,,
"2 BHK Apartment for Sale in DDA Pocket I, Dilshad Garden New Delhi",,,,,,,,
"2 BHK Apartment for Sale in Everest Apartment, Kalkaji New Delhi",,,,,,,,
"3 BHK Apartment for Sale in Park View Apartments, Block A Sector 12 Dwarka New Delhi",,,,,,,,
"2 BHK Apartment for Sale in Kishangarh Village, Vasant Kunj New Delhi",,,,,,,,
2 BHK Apartment for Sale in Old Rajinder Nagar New Delhi,,,,,,,,
3 BHK Apartment for Sale in Phase 1 Sheikh Sarai New Delhi,,,,,,,,
"2 BHK Builder Floor for Sale in Fateh Nagar, Janakpuri New Delhi",,,,,,,,
"3 BHK Builder Floor for Sale in RWA Khirki Ext, Khirki Extension New Delhi",,,,,,,,
3 BHK Builder Floor for Sale in Sector 23 Dwarka New Delhi,,,,,,,,
"3 BHK Apartment for Sale in Shree Shyam Apartments, Uttam Nagar New Delhi",,,,,,,,
3 BHK Builder Floor for Sale in Shakti Nagar New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Shastri Nagar New Delhi,,,,,,,,
"3 BHK Apartment for Sale in Motia Khan, Sadar Bazaar New Delhi",,,,,,,,
"2 BHK Apartment for Sale in DDA Flats Sector C Pocket 9, Vasant Kunj New Delhi",,,,,,,,
"2 BHK Apartment for Sale in U&V Block Shalimar Bagh, Shalimar bagh New Delhi",,,,,,,,
"3 BHK Builder Floor for Sale in Mahendru Enclave, Model Town New Delhi",,,,,,,,
2 BHK House for Sale in Paharganj New Delhi,,,,,,,,
2 BHK Apartment for Sale in Laxmi Nagar New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Tughlakabad Extension New Delhi,,,,,,,,
3 BHK Apartment for Sale in Inder Puri New Delhi,,,,,,,,
"3 BHK Apartment for Sale in Jangpura B, Jangpura B, Jangpura New Delhi",,,,,,,,
2 BHK Builder Floor for Sale in Mahavir Enclave Part 1 New Delhi,,,,,,,,
2 BHK Builder Floor for Sale in Phase 3 Mayur Vihar New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Old Rajinder Nagar New Delhi,,,,,,,,
"3 BHK Builder Floor for Sale in Star Apartment, Uttam Nagar East, Uttam Nagar New Delhi",,,,,,,,
3 BHK Builder Floor for Sale in Block A Uttam Nagar Bindapur New Delhi,,,,,,,,
"3 BHK Builder Floor for Sale in Chhajjupur, Babarpur New Delhi",,,,,,,,
"2 BHK House for Sale in Maya Enclave, Hari Nagar New Delhi",,,,,,,,
"3 BHK Builder Floor for Sale in Hauz Khas Enclave, Hauz Khas New Delhi",,,,,,,,
2 BHK Builder Floor for Sale in Block D Tagore Garden New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Uttam Nagar New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Sant Nagar Extension New Delhi,,,,,,,,
"2 BHK Apartment for Sale in DDA Red MIG Flats, Rajouri Garden New Delhi",,,,,,,,
3 BHK Apartment for Sale in New Govindpura New Delhi,,,,,,,,
"3 BHK Apartment for Sale in Agroha Kunj Apartment, Sector 13 Rohini New Delhi",,,,,,,,
2 BHK Builder Floor for Sale in Bijwasan New Delhi,,,,,,,,
3 BHK Apartment for Sale in Naraina Vihar New Delhi,,,,,,,,
"2 BHK Apartment for Sale in DDA LIG Flat, Kalkaji New Delhi",,,,,,,,
"3 BHK Apartment for Sale in Citizen Society, Sector 13 Rohini New Delhi",,,,,,,,
3 BHK Builder Floor for Sale in Shakarpur New Delhi,,,,,,,,
3 BHK Apartment for Sale in Vikaspuri New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Phase 2 Ashok Vihar New Delhi,,,,,,,,
"3 BHK Apartment for Sale in Risland Sky Mansion, Chattarpur New Delhi",,,,,,,,
"2 BHK Apartment for Sale in AP Block Pitampura, Pitam Pura New Delhi",,,,,,,,
2 BHK Builder Floor for Sale in Uttam Nagar West New Delhi,,,,,,,,
"2 BHK Apartment for Sale in Vikrant Apartment, Sector 13 Rohini New Delhi",,,,,,,,
"2 BHK Apartment for Sale in Delhi Citizen Apartment, Rohini New Delhi",,,,,,,,
3 BHK Builder Floor for Sale in Dilshad Garden New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Defence Colony New Delhi,,,,,,,,
2 BHK Apartment for Sale in Chattarpur New Delhi,,,,,,,,
"3 BHK Apartment for Sale in Pawittra Apartment, Vasundhara Enclave New Delhi",,,,,,,,
2 BHK Builder Floor for Sale in Dwarka New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Raja Puri Madhu Vihar New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Palam New Delhi,,,,,,,,
"2 BHK House for Sale in Radheypuri, Krishna Nagar New Delhi",,,,,,,,
"3 BHK Builder Floor for Sale in Shivalik A Block, Shivalik Colony New Delhi",,,,,,,,
3 BHK House for Sale in Block C Bhajanpura New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in New Rajendra Nagar New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Anand Vihar New Delhi,,,,,,,,
"3 BHK Builder Floor for Sale in RWA E Block, Greater Kailash 1 New Delhi",,,,,,,,
2 BHK Builder Floor for Sale in Vasant Kunj New Delhi,,,,,,,,
2 BHK Builder Floor for Sale in Rohini New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Nehru Enclave Chittaranjan Park New Delhi,,,,,,,,
"3 BHK Apartment for Sale in The Maharani Aventi Bai CGHS, Sector 22 Dwarka New Delhi",,,,,,,,
3 BHK Builder Floor for Sale in Shastri Nagar New Delhi,,,,,,,,
2 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi,,,,,,,,
2 BHK Apartment for Sale in Dilshad Garden New Delhi,,,,,,,,
"2 BHK Builder Floor for Sale in Rama Park, Nawada New Delhi",,,,,,,,
3 BHK Builder Floor for Sale in Lajpat Nagar 2 New Delhi,,,,,,,,
2 BHK Builder Floor for Sale in Dwarka Mor New Delhi,,,,,,,,
"2 BHK Apartment for Sale in DDA Mig Flats Sarita Vihar, Sarita Vihar, Mathura Road New Delhi",,,,,,,,
"2 BHK Apartment for Sale in Project Gangotri Enclave, Alaknanda New Delhi",,,,,,,,
"3 BHK Apartment for Sale in Uttam Nagar Floors, Mohan Garden Uttam Nagar New Delhi",,,,,,,,
"2 BHK Apartment for Sale in Rajouri Apartments, Rajouri Garden New Delhi",,,,,,,,
2 BHK Builder Floor for Sale in Ram Nagar Extension Ram Nagar New Delhi,,,,,,,,
2 BHK Builder Floor for Sale in Panchsheel Park New Delhi,,,,,,,,
"3 BHK Apartment for Sale in Uttam Nagar Floors, Uttam Nagar New Delhi",,,,,,,,
2 BHK Apartment for Sale in Ramesh Nagar New Delhi,,,,,,,,
2 BHK House for Sale in Uttam Nagar West New Delhi,,,,,,,,
3 BHK Apartment for Sale in Ram Garh Colony New Delhi,,,,,,,,
2 BHK Builder Floor for Sale in Uttam Nagar West New Delhi,,,,,,,,
2 BHK Builder Floor for Sale in Lajpat Nagar 2 New Delhi,,,,,,,,
"3 BHK Builder Floor for Sale in Sunder Vihar, Paschim Vihar New Delhi",,,,,,,,
3 BHK Apartment for Sale in Dwarka Mor New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Mansa Ram Park New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Kalkaji New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Malviya Nagar New Delhi,,,,,,,,
"3 BHK Apartment for Sale in DDA Flats Sector B Pocket 10, Vasant Kunj New Delhi",,,,,,,,
3 BHK Builder Floor for Sale in Saket New Delhi,,,,,,,,
3 BHK Builder Floor for Sale in Chittaranjan Park New Delhi,,,,,,,,
"2 BHK Apartment for Sale in DDA Ekta Apartment, Paschim Vihar New Delhi",,,,,,,,
