name,name_of_building,Super_Area,Under_Construction,Transaction,Furnishing,Bathroom,price,builder
"2 BHK Flat for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, New Delhi",,"CARPET AREA
540 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
New Property","FURNISHING
Semi-Furnished","₹
3.62 Cr",
"3 BHK Flat for Sale in Defence Colony, New Delhi",,"CARPET AREA
892 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
7.50 Cr",
"3 BHK Flat for Sale in Ashoka Enclave Apartment, Sector 11 Dwarka, New Delhi",,"CARPET AREA
750 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
2.31 Cr",
"3 BHK Flat for Sale in Chattarpur, New Delhi",,"CARPET AREA
990 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
50 Lac",
2 BHK House for Sale in Sector 24 Rohini New Delhi,,"CARPET AREA
1750 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
New Property","FURNISHING
Semi-Furnished","₹
95 Lac",
"3 BHK Apartment for Sale in New Jai Bharat Apartment, Dwarka New Delhi",,"CARPET AREA
720 sqft","STATUS
Ready to Move","FLOOR
2 out of 12","TRANSACTION
New Property","FURNISHING
Semi-Furnished","₹
2.21 Cr",
3 BHK Builder Floor for Sale in Chattarpur New Delhi,,"CARPET AREA
1050 sqft","STATUS
Ready to Move","FLOOR
Ground out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
82 Lac",
2 BHK Builder Floor for Sale in Govindpuri New Delhi,,"CARPET AREA
1800 sqft","STATUS
Ready to Move","FLOOR
3 out of 10","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
45 Lac",
3 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,,"CARPET AREA
1700 sqft","STATUS
Ready to Move","FLOOR
5 out of 10","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
6.50 Cr",
2 BHK Builder Floor for Sale in Mahavir Enclave Part 1 New Delhi,,"CARPET AREA
800 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
55 Lac",
"3 BHK Apartment for Sale in Him Hit Sadbhavna Apartments, Sector 22 Dwarka New Delhi",,"CARPET AREA
720 sqft","STATUS
Ready to Move","FLOOR
1 out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
2.40 Cr",
2 BHK Builder Floor for Sale in Uttam Nagar New Delhi,,"CARPET AREA
1600 sqft","STATUS
Ready to Move","FLOOR
3 out of 10","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
33 Lac",
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,,"CARPET AREA
1550 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Fancy Apartments, Vasundhara Enclave New Delhi",,"SUPER AREA
2000 sqft","TRANSACTION
Resale","FLOOR
1 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Defence Colony New Delhi,,"SUPER AREA
1180 sqft","STATUS
Ready to Move","FLOOR
2 out of 3","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"2 BHK Apartment for Sale in DDA Flats Munirka, Munirka New Delhi",,"CARPET AREA
1900 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Green Park New Delhi,,"CARPET AREA
530 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Laxmi Nagar New Delhi,,"CARPET AREA
1255 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Manchahat Apartments, Sector 10 Dwarka New Delhi",,"CARPET AREA
1350 sqft","STATUS
Ready to Move","FLOOR
2 out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,,"CARPET AREA
100 sqyrd","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Builder Floor for Sale in Prime Luxury Builder Floor, Greater Kailash 1 New Delhi",,"CARPET AREA
1125 sqft","STATUS
Ready to Move","FLOOR
Ground out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Suruchi Apartments, Sector 10 Dwarka New Delhi",,"CARPET AREA
1400 sqft","UNDER CONSTRUCTION
Poss. by Aug '25","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
4",,
2 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi,,"SUPER AREA
2290 sqft","FLOOR
4 out of 22","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"2 BHK Apartment for Sale in DDA Flats Sector D Pocket 7, Vasant Kunj New Delhi",,"CARPET AREA
183 sqyrd","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road New Delhi",,"CARPET AREA
1000 sqft","STATUS
Ready to Move","FLOOR
3 out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in DDA Flats Sector C Pocket 8, Vasant Kunj New Delhi",,"CARPET AREA
200 sqyrd","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,,"SUPER AREA
900 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,,"CARPET AREA
595 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Apartment for Sale in Sector 10 Dwarka New Delhi,,"CARPET AREA
580 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Furnished",,
3 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi,,"CARPET AREA
1300 sqft","STATUS
Ready to Move","FLOOR
Ground out of 2","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Apartment for Sale in Anand Lok New Delhi,,"CARPET AREA
1050 sqft","STATUS
Ready to Move","FLOOR
3 out of 7","TRANSACTION
Resale","FURNISHING
Furnished",,
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,,"CARPET AREA
1400 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Punjabi Bagh New Delhi,,"CARPET AREA
84 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Furnished",,
"3 BHK Apartment for Sale in DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road New Delhi",,"CARPET AREA
1600 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Panchsheel Enclave New Delhi,,"CARPET AREA
100 sqyrd","STATUS
Ready to Move","FLOOR
Ground out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Builder Floor for Sale in Omdev Homes, Greater Kailash 1 New Delhi",,"CARPET AREA
900 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
New Property","FURNISHING
Semi-Furnished",,
3 BHK Apartment for Sale in Uttam Nagar New Delhi,,"CARPET AREA
990 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
New Property","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Mahavir Enclave New Delhi,,"CARPET AREA
65 sqyrd","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Sector 8 Dwarka New Delhi,,"CARPET AREA
1300 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Green Park New Delhi,,"SUPER AREA
55 sqyrd","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in Chetak Apartment, Sector 9 Rohini New Delhi",,"CARPET AREA
450 sqft","STATUS
Ready to Move","FLOOR
1 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"2 BHK Apartment for Sale in Vikrant Apartment, Sector 13 Rohini New Delhi",,"CARPET AREA
1000 sqft","STATUS
Ready to Move","FLOOR
1 out of 3","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road New Delhi",,"CARPET AREA
2000 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"2 BHK Apartment for Sale in Saraswati Narmada Ganga Yamuna Apartment, Vasant Kunj New Delhi",,"CARPET AREA
900 sqft","STATUS
Ready to Move","FLOOR
3 out of 6","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"2 BHK Apartment for Sale in DDA Shubham Apartment, Patparganj New Delhi",,"SUPER AREA
1600 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,,"CARPET AREA
1600 sqft","STATUS
Ready to Move","FLOOR
3 out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Apartment for Sale in Sector 6 Dwarka New Delhi,,"CARPET AREA
950 sqft","STATUS
Ready to Move","FLOOR
2 out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Sunny Valley Apartments, Dwarka New Delhi",,"CARPET AREA
1020 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Janakpuri New Delhi,,"CARPET AREA
950 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Builder Floor for Sale in Luxury Builder Floor, Greater Kailash 2 New Delhi",,"CARPET AREA
900 sqft","STATUS
Ready to Move","FLOOR
4 out of 7","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Shiv Shakti Apartment, Sector 10 Dwarka New Delhi",,"CARPET AREA
1400 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
New Property","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Pacific Apartment, Sector 10 Dwarka New Delhi",,"CARPET AREA
100 sqyrd","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
