name,name_of_building,Super_Area,Under_Construction,Transaction,Furnishing,Bathroom,price,builder
"3 BHK Flat for Sale in Nalagandla, Hyderabad",Vertex 33 West,"SUPER AREA
2080 sqft","UNDER CONSTRUCTION
Poss. by Aug '28","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.66 Cr",Agent: GIS Realty And Infra
"3 BHK Flat for Sale in Kompally, Hyderabad",Rajapushpa Infina,"SUPER AREA
3080 sqft","UNDER CONSTRUCTION
Poss. by Nov '28","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.11 Cr",Builder: Tripura Constructions
"3 BHK Flat for Sale in Kollur, Outer Ring Road, Hyderabad",Elegant Nivasa,"SUPER AREA
1845 sqft","UNDER CONSTRUCTION
Poss. by Sep '28","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
2 Covered","₹
1.16 Cr",Builder: Cloudswood Constructions Private Limited
3 BHK Villa for Sale in Adibatla Hyderabad,Green Alpha,"SUPER AREA
2030 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.11 Cr",Builder: VENTURA ESTATE DEVELOPERS
"3 BHK Flat for Sale in Bandlaguda Jagir, Hyderabad",Radhey SKYE,"SUPER AREA
1835 sqft","UNDER CONSTRUCTION
Poss. by Jun '26","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.72 Cr",Builder: Shiv Krishna Constructions
"3 BHK Flat for Sale in Puppalguda, Hyderabad",Wave,"SUPER AREA
1660 sqft","UNDER CONSTRUCTION
Poss. by Dec '27","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.77 Cr",Builder: Creative Homes
"3 BHK Flat for Sale in Rajendranagar Mandal, Hyderabad",Paras Prem Homes by Shiv Krishna Constructions,"SUPER AREA
3071 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
2 Covered","₹
1.32 Cr",Agent: Kumar
"3 BHK Flat for Sale in Kokapet, Outer Ring Road, Hyderabad",Urban Commune,"SUPER AREA
2600 sqft","TRANSACTION
New Property","FURNISHING
Semi-Furnished","CAR PARKING
1 Covered","BATHROOM
3","₹
2.37 Cr",Agent: THIMU AVENUES
"2 BHK Flat for Sale in Gowdavalli, Hyderabad",NLC Akarsha,"SUPER AREA
1525 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Semi-Furnished","CAR PARKING
1 Covered","₹
58.1 Lac",Agent: Perfect Pincode
"3 BHK Flat for Sale in Kokapet, Outer Ring Road, Hyderabad",Thimu Blezza,"SUPER AREA
1920 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.73 Cr",Builder: Signature Avenues
"3 BHK Flat for Sale in Tukkuguda, Srisailam Highway, Hyderabad",Shivantha Gardenia,"SUPER AREA
1030 sqft","UNDER CONSTRUCTION
Poss. by Dec '24","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
75.4 Lac",Builder: Risinia Builders
"3 BHK Flat for Sale in Gachibowli, Hyderabad",Signature Altius,"SUPER AREA
1385 sqft","UNDER CONSTRUCTION
Poss. by Dec '24","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.63 Cr",Builder: Modi Builders
"3 BHK Flat for Sale in Saroornagar, NH 9, Hyderabad",Risinia Skyon,"SUPER AREA
1388 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Semi-Furnished","CAR PARKING
1 Covered","₹
1.48 Cr",Builder: Vasavi Group
"3 BHK Flat for Sale in Manchirevula, Outer Ring Road, Hyderabad",Modi Elegance,"SUPER AREA
1150 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
2.85 Cr",Builder: GHR Infra
"3 BHK Flat for Sale in Tellapur, Outer Ring Road, Hyderabad",Vasavi Metropolis,"SUPER AREA
1815 sqft","UNDER CONSTRUCTION
Poss. by Oct '24","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.16 Cr",Builder: Riddhi Builders
"3 BHK Flat for Sale in Tellapur, Outer Ring Road, Hyderabad",GHR Callisto,"SUPER AREA
1775 sqft","UNDER CONSTRUCTION
Poss. by Dec '25","FLOOR
15 out of 18","TRANSACTION
New Property","FURNISHING
Unfurnished","₹
1.52 Cr",Builder: Giridhari Homes Pvt. Ltd.
"3 BHK Flat for Sale in Kollur, Outer Ring Road, Hyderabad",Riddhis Pramukh Elegance,"SUPER AREA
1830 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.19 Cr",Builder: Muppa Projects India Pvt. Ltd.
"3 BHK Flat for Sale in Kollur, Outer Ring Road, Hyderabad",Happiness Hub,"SUPER AREA
2197 sqft","UNDER CONSTRUCTION
Poss. by Dec '24","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.19 Cr",Builder: Primark Projects Private Limited
"3 BHK Villa for Sale in Ghatkesar, NH 2 2 Hyderabad",Muppas Melody,"SUPER AREA
1725 sqft","UNDER CONSTRUCTION
Poss. by Feb '27","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.74 Cr",Builder: Lansum Properties LLP
3 BHK Villa for Sale in Bhanur Hyderabad,Primarks Eco Nest,"SUPER AREA
1910 sqft","UNDER CONSTRUCTION
Poss. by Dec '24","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.95 Cr",Builder: Hallmark Builders
3 BHK Apartment for Sale in Ameenpur Hyderabad,Lansum EL Dorado,"SUPER AREA
1945 sqft","UNDER CONSTRUCTION
Poss. by Jul '25","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
83.3 Lac",Builder: GoldenKey Ventures Pvt Ltd
3 BHK Apartment for Sale in Kompally Hyderabad,Hallmark Treasor,"SUPER AREA
2540 sqft","UNDER CONSTRUCTION
Poss. by Nov '24","TRANSACTION
New Property","FURNISHING
Semi-Furnished","CAR PARKING
1 Covered","₹
80.6 Lac",Builder: Cybercity Builders And Developers Pvt. Ltd.
"2 BHK Apartment for Sale in Isnapur, Outer Ring Road Hyderabad",GoldenKey Meraki,"SUPER AREA
1445 sqft","UNDER CONSTRUCTION
Poss. by Dec '25","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
49 Lac",Builder: Samracana Projects LLP
"2 BHK Apartment for Sale in Kollur, Outer Ring Road Hyderabad",Cybercity Westbrook,"SUPER AREA
1075 sqft","UNDER CONSTRUCTION
Poss. by Dec '25","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
83.1 Lac",Builder: Pavani Group
2 BHK Apartment for Sale in Bachupally Hyderabad,Samracana Swasthi,"SUPER AREA
1270 sqft","UNDER CONSTRUCTION
Poss. by Nov '29","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
93 Lac",Builder: Subishi Engineers
3 BHK Apartment for Sale in Gajularamaram Hyderabad,Sai Sravanthi Pavani Felicity,"SUPER AREA
2514 sqft","UNDER CONSTRUCTION
Poss. by Dec '26","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
63.5 Lac",Builder: Vertex Homes Pvt. Ltd.
"3 BHK Apartment for Sale in Uppal, NH 2 2 Hyderabad",Subishis Nest Residences,"SUPER AREA
1235 sqft","UNDER CONSTRUCTION
Poss. by Nov '27","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.14 Cr",Builder: Lansum Enpoint Developers LLP
"3 BHK Apartment for Sale in Kollur, Outer Ring Road Hyderabad",Vertex 33 West,"SUPER AREA
1690 sqft","UNDER CONSTRUCTION
Poss. by Aug '28","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
2","₹
1.06 Cr",Builder: Jain Constructions
3 BHK Apartment for Sale in Kompally Hyderabad,Lansum Elena,"SUPER AREA
2640 sqft","UNDER CONSTRUCTION
Poss. by Dec '28","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1 Cr",Builder: Praneeth Group
"3 BHK Apartment for Sale in Kismatpur, Outer Ring Road Hyderabad",Jains Fairmount Sri Ram Garden 2,"SUPER AREA
2055 sqft","UNDER CONSTRUCTION
Poss. by Mar '25","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.75 Cr",Builder: Supadha Developers Private Limited
"3 BHK Apartment for Sale in Tellapur, Outer Ring Road Hyderabad",Praneeth PBR Pranav Ixora,"CARPET AREA
3130 sqft","UNDER CONSTRUCTION
Poss. by Dec '26","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.24 Cr",Builder: Vision Infra Developers India Pvt Ltd
3 BHK Apartment for Sale in Kompally Hyderabad,Supadha Gamya,"SUPER AREA
2430 sqft","UNDER CONSTRUCTION
Poss. by Jun '27","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
91.7 Lac",Builder: Poulomi Estates Pvt. Ltd.
"3 BHK Apartment for Sale in Narsingi, Outer Ring Road Hyderabad",Visions Arsha,"SUPER AREA
2700 sqft","UNDER CONSTRUCTION
Poss. by Dec '25","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.65 Cr",Builder: Anvita Buildpro LLP
"3 BHK Apartment for Sale in Narsingi, Outer Ring Road Hyderabad",Poulomi Avante,"SUPER AREA
1840 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
2.34 Cr",Builder: Aakriti Housing
2 BHK Apartment for Sale in Ameenpur Hyderabad,Anvita Ivana,"SUPER AREA
1808 sqft","UNDER CONSTRUCTION
Poss. by Dec '26","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
79.4 Lac",Builder: Regalia Smartspaces LLP
"2 BHK Apartment for Sale in Kokapet, Outer Ring Road Hyderabad",Aakriti Miro,"SUPER AREA
2036 sqft","UNDER CONSTRUCTION
Poss. by Oct '26","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.04 Cr",Builder: Organo Eco Habitats Pvt. Ltd.
"2 BHK Apartment for Sale in Kollur, Outer Ring Road Hyderabad",Krishna Kunj Central Courtyard,"SUPER AREA
1950 sqft","UNDER CONSTRUCTION
Poss. by Dec '24","TRANSACTION
New Property","FURNISHING
Semi-Furnished","BATHROOM
3","₹
69.9 Lac",Builder: Auro Realty
3 BHK Apartment for Sale in Nizampet Hyderabad,Organo Damaragidda,"SUPER AREA
3174 sqft","UNDER CONSTRUCTION
Poss. by Jun '27","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.84 Cr",Builder: Shanta Sriram Constructions Pvt. Ltd.
2 BHK Apartment for Sale in Kandlakoya Hyderabad,The Regent,"SUPER AREA
2191 sqft","UNDER CONSTRUCTION
Poss. by Sep '27","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
74.1 Lac",Builder: Divine Homes
3 BHK Apartment for Sale in Nalagandla Hyderabad,Silpas Kalpavriksha,"SUPER AREA
1152 sqft","UNDER CONSTRUCTION
Poss. by Dec '26","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.35 Cr",Builder: EIPL Group
"3 BHK Apartment for Sale in Kokapet, Outer Ring Road Hyderabad",Divine Space,"SUPER AREA
1715 sqft","UNDER CONSTRUCTION
Poss. by Dec '25","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
2.64 Cr",Builder: GK Builders & Developers
3 BHK Apartment for Sale in Kompally Hyderabad,EIPL CORNERSTONE,"SUPER AREA
1950 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.38 Cr",Builder: Venkatadri Developers Pvt Ltd
"3 BHK Apartment for Sale in Hyder Nagar, NH 9 Hyderabad",GKs Zenith,"SUPER AREA
1650 sqft","UNDER CONSTRUCTION
Poss. by Jan '26","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
2.37 Cr",Builder: AASHVI VIJETHA LLP
"3 BHK Apartment for Sale in Tellapur, Outer Ring Road Hyderabad",Vajras Abode,"SUPER AREA
2195 sqft","UNDER CONSTRUCTION
Poss. by Sep '28","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
2.35 Cr",Builder: Bhanodaya Constructions Pvt Ltd
"3 BHK Apartment for Sale in Tellapur, Outer Ring Road Hyderabad",Urban Habitat,"SUPER AREA
1505 sqft","UNDER CONSTRUCTION
Poss. by Mar '25","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
2.02 Cr",Builder: Sikhara Projects & Estates LLP
"3 BHK Builder Floor for Sale in Kokapet, Outer Ring Road Hyderabad",Bhanodayas Crystal,"SUPER AREA
1825 sqft","UNDER CONSTRUCTION
Poss. by Sep '28","TRANSACTION
New Property","FURNISHING
Semi-Furnished","CAR PARKING
1 Covered","₹
1.56 Cr",Builder: Aspire Spaces Private Limited
"3 BHK Apartment for Sale in Kollur, Outer Ring Road Hyderabad",Sikhara One,"SUPER AREA
2240 sqft","UNDER CONSTRUCTION
Poss. by Dec '24","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.22 Cr",Builder: Avantika Projects
3 BHK Apartment for Sale in Nalagandla Hyderabad,Aspire Spaces Ameya,"SUPER AREA
1940 sqft","UNDER CONSTRUCTION
Poss. by Dec '24","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.62 Cr",Builder: JAI SRIDEVI HOMES PVT.LTD.
"3 BHK Apartment for Sale in Quthbullapur, NH 7 Hyderabad",Avantikas Arudra,"SUPER AREA
1270 sqft","UNDER CONSTRUCTION
Poss. by Feb '25","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.11 Cr",Builder: Super Homes Constructions
2 BHK Villa for Sale in Chevella Hyderabad,Devi Homes Samruddhi,"SUPER AREA
1610 sqft","UNDER CONSTRUCTION
Poss. by Dec '25","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
2.75 Cr",Builder: Sri Vathsa Homes Pvt Ltd
3 BHK Apartment for Sale in Kondapur Hyderabad,Super Homes Abhirama,"SUPER AREA
2274 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Semi-Furnished","BATHROOM
3","₹
2.30 Cr",Builder: PROSPERITI HOMES
3 BHK Apartment for Sale in Bahadurpally Hyderabad,Sri Vathsas Sterling Abode,"SUPER AREA
1297 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
46.1 Lac",Builder: KSR Homes
"3 BHK Apartment for Sale in Tellapur, Outer Ring Road Hyderabad",EKAM by Prosperiti Homes,"SUPER AREA
1900 sqft","UNDER CONSTRUCTION
Poss. by Jun '26","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.20 Cr",Builder: Infocity Infratech
3 BHK Apartment for Sale in Puppalguda Hyderabad,Signature 4,"SUPER AREA
1507 sqft","UNDER CONSTRUCTION
Poss. by Dec '24","FLOOR
3 out of 5","TRANSACTION
New Property","FURNISHING
Unfurnished","₹
1.64 Cr",Builder: Sri Shyam Krupa
3 BHK Apartment for Sale in Yapral Hyderabad,Infocity Majestic,"SUPER AREA
1665 sqft","UNDER CONSTRUCTION
Poss. by Feb '25","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
99 Lac",Builder: Sanskriti Infra
"3 BHK Apartment for Sale in Kukatpally, NH 9 Hyderabad",SSK CLASSIC,"SUPER AREA
2718 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Semi-Furnished","CAR PARKING
1 Covered","₹
1.68 Cr",Builder: NJR Constructions Pvt Ltd
3 BHK Apartment for Sale in Nagole Hyderabad,Sanskriti Sarovar,"SUPER AREA
1315 sqft","UNDER CONSTRUCTION
Poss. by Feb '27","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
2","₹
94.8 Lac",Builder: Concrete Infra
3 BHK Apartment for Sale in Gundlapochampalli Hyderabad,R K Towers,"SUPER AREA
1148 sqft","UNDER CONSTRUCTION
Poss. by Dec '25","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
94.9 Lac",Builder: Swagath Housing Corporation
3 BHK Apartment for Sale in Attapur Hyderabad,Concrete Avasa,"SUPER AREA
1265 sqft","STATUS
Ready to Move","FLOOR
1 out of 5","TRANSACTION
New Property","FURNISHING
Unfurnished","₹
1.68 Cr",Builder: Elemental
"3 BHK Apartment for Sale in Miyapur, NH 9 Hyderabad",Swagath Jubilant,"SUPER AREA
1351 sqft","UNDER CONSTRUCTION
Poss. by Mar '25","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.22 Cr",
2 BHK Apartment for Sale in Bandlaguda Jagir Hyderabad,,"SUPER AREA
2430 sqft","UNDER CONSTRUCTION
Poss. by Jun '26","FLOOR
14 out of 35","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
73.7 Lac",
3 BHK Apartment for Sale in Patancheruvu Hyderabad,,"SUPER AREA
1509 sqft","UNDER CONSTRUCTION
Poss. by Dec '26","FLOOR
9 out of 42","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
80.5 Lac",
"3 BHK Apartment for Sale in LB Nagar, NH 9 Hyderabad",,"CARPET AREA
1780 sqft","UNDER CONSTRUCTION
Poss. by Jun '26","FLOOR
4 out of 43","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
1.59 Cr",
2 BHK Apartment for Sale in Yapral Hyderabad,,"CARPET AREA
1500 sqft","STATUS
Ready to Move","FLOOR
5 out of 5","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
71.5 Lac",
3 BHK Apartment for Sale in Velmala Hyderabad,,"CARPET AREA
1069 sqft","STATUS
Ready to Move","FLOOR
4 out of 6","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
1.23 Cr",
"3 BHK Apartment for Sale in Tellapur, Outer Ring Road Hyderabad",,"CARPET AREA
850 sqft","UNDER CONSTRUCTION
Poss. by Feb '25","FLOOR
3 out of 5","TRANSACTION
New Property","FURNISHING
Unfurnished","₹
1.06 Cr",
"3 BHK Apartment for Sale in Kismatpur, Outer Ring Road Hyderabad",,"SUPER AREA
1650 sqft","FLOOR
8 out of 10","TRANSACTION
New Property","FURNISHING
Unfurnished","OVERLOOKING
Main Road, Garden/Park, Pool","₹
99.9 Lac",
3 BHK Apartment for Sale in Madhapur Hyderabad,,"SUPER AREA
1303 sqft","STATUS
Ready to Move","FLOOR
1 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
2.98 Cr",
2 BHK Apartment for Sale in Dulapally Hyderabad,,"SUPER AREA
1145 sqft","STATUS
Ready to Move","FLOOR
4 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
55.2 Lac",
2 BHK Apartment for Sale in Thumkunta Hyderabad,,"CARPET AREA
1350 sqft","UNDER CONSTRUCTION
Poss. by Apr '26","FLOOR
15 out of 30","TRANSACTION
New Property","FURNISHING
Unfurnished","₹
58 Lac",
2 BHK Apartment for Sale in Nagole Hyderabad,,"SUPER AREA
1470 sqft","STATUS
Ready to Move","FLOOR
5 out of 9","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
71.1 Lac",
"3 BHK Apartment for Sale in Isnapur, Outer Ring Road Hyderabad",,"SUPER AREA
1600 sqft","UNDER CONSTRUCTION
Poss. by Dec '25","TRANSACTION
Resale","FURNISHING
Unfurnished","FACING
West","₹
67.6 Lac",
2 BHK Apartment for Sale in Bharath Nagar Colony Kismatpur Hyderabad,,"CARPET AREA
2566 sqft","STATUS
Ready to Move","FLOOR
19 out of 22","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
62.2 Lac",
3 BHK Apartment for Sale in Puppalguda Hyderabad,,"CARPET AREA
1400 sqft","STATUS
Ready to Move","FLOOR
2 out of 5","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
1.31 Cr",
"3 BHK Apartment for Sale in Moosapet, NH 9 Hyderabad",,"CARPET AREA
1125 sqft","STATUS
Ready to Move","FLOOR
3 out of 5","TRANSACTION
Resale","FURNISHING
Furnished","₹
2.02 Cr",
3 BHK Villa for Sale in Mokila Hyderabad,,"SUPER AREA
1105 sqft","UNDER CONSTRUCTION
Poss. by Dec '25","FLOOR
9 out of 13","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
4.13 Cr",
3 BHK Apartment for Sale in Bachupally Hyderabad,,"SUPER AREA
1318 sqft","STATUS
Ready to Move","FLOOR
5 out of 6","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
83.3 Lac",
3 BHK Builder Floor for Sale in Kondapur Hyderabad,,"SUPER AREA
2003 sqft","UNDER CONSTRUCTION
Poss. by Oct '26","FLOOR
12 out of 40","TRANSACTION
New Property","FURNISHING
Unfurnished","₹
1.79 Cr",
3 BHK Apartment for Sale in Beeramguda Main Road Hyderabad,,"SUPER AREA
2420 sqft","UNDER CONSTRUCTION
Poss. by Oct '27","FLOOR
9 out of 43","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
1.02 Cr",
3 BHK Apartment for Sale in Chanda Nagar Hyderabad,,"CARPET AREA
1200 sqft","STATUS
Ready to Move","FLOOR
12 out of 12","TRANSACTION
Resale","FURNISHING
Furnished","₹
1.53 Cr",
2 BHK Apartment for Sale in Puppalguda Hyderabad,,"CARPET AREA
1600 sqft","UNDER CONSTRUCTION
Poss. by Nov '24","TRANSACTION
Resale","FURNISHING
Semi-Furnished","FACING
North - East","₹
1.34 Cr",
"3 BHK Apartment for Sale in Narsingi, Outer Ring Road Hyderabad",,"CARPET AREA
1280 sqft","UNDER CONSTRUCTION
Poss. by Dec '25","FLOOR
19 out of 35","TRANSACTION
Resale","FURNISHING
Unfurnished","₹
1.49 Cr",
2 BHK Apartment for Sale in Kondapur Hyderabad,,"CARPET AREA
1850 sqft","STATUS
Ready to Move","FLOOR
3 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
1.30 Cr",
"3 BHK Apartment for Sale in Kollur, Outer Ring Road Hyderabad",,"SUPER AREA
2355 sqft","UNDER CONSTRUCTION
Poss. by Jul '27","FLOOR
24 out of 42","TRANSACTION
New Property","FURNISHING
Unfurnished","₹
1.07 Cr",
3 BHK Apartment for Sale in Shaikpet Hyderabad,,"CARPET AREA
1515 sqft","STATUS
Ready to Move","FLOOR
11 out of 12","TRANSACTION
Resale","FURNISHING
Furnished","₹
2.15 Cr",
"3 BHK Apartment for Sale in Gandi Maisamma, Outer Ring Road Hyderabad",,"CARPET AREA
1100 sqft","STATUS
Ready to Move","FLOOR
4 out of 4","TRANSACTION
Resale","FURNISHING
Furnished","₹
67.5 Lac",
"3 BHK Apartment for Sale in Kokapet, Outer Ring Road Hyderabad",,"CARPET AREA
1218 sqft","STATUS
Ready to Move","FLOOR
1 out of 26","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
3.63 Cr",
3 BHK Apartment for Sale in Kondapur Hyderabad,,"CARPET AREA
950 sqft","UNDER CONSTRUCTION
Poss. by Feb '25","FLOOR
1 out of 4","TRANSACTION
New Property","FURNISHING
Semi-Furnished","₹
1.88 Cr",
3 BHK Apartment for Sale in Gachibowli Hyderabad,,"SUPER AREA
1120 sqft","STATUS
Ready to Move","FLOOR
1 out of 5","TRANSACTION
Resale","FURNISHING
Furnished","₹
2.60 Cr",
"3 BHK Villa for Sale in Kollur, Outer Ring Road Hyderabad",,"CARPET AREA
2316 sqft","STATUS
Ready to Move","TRANSACTION
Resale","FURNISHING
Unfurnished","FACING
West","₹
1.80 Cr",
"3 BHK Apartment for Sale in Gandi Maisamma, Outer Ring Road Hyderabad",,"SUPER AREA
1410 sqft","STATUS
Ready to Move","FLOOR
4 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished","₹
1.11 Cr",
