name,name_of_building,Super_Area,Under_Construction,Transaction,Furnishing,Bathroom,price,builder
"3 BHK Flat for Sale in Hitech City, Hyderabad",Marina Skies,"SUPER AREA
2220 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
2.10 Cr",Builder: Cybercity Builders And Developers Pvt. Ltd.
"3 BHK Flat for Sale in Financial District, Nanakram Guda, Hyderabad",Lumbini Elysee,"SUPER AREA
2101 sqft","UNDER CONSTRUCTION
Poss. by Oct '25","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
2.20 Cr",Builder: Lumbini Constructions Ltd.
"3 BHK Flat for Sale in Kompally, Hyderabad",Hivision Heights,"SUPER AREA
1485 sqft","UNDER CONSTRUCTION
Poss. by Mar '25","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.13 Cr",Builder: Hivision Developers
"3 BHK Flat for Sale in Pocharam, NH 2 2, Hyderabad",The Ananda,"SUPER AREA
1623 sqft","UNDER CONSTRUCTION
Poss. by Dec '24","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
89.2 Lac",Builder: Sahasram Developers LLP
"3 BHK Flat for Sale in Yapral, Hyderabad",GK Rajs Casa Grande,"SUPER AREA
2085 sqft","UNDER CONSTRUCTION
Poss. by Dec '24","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.31 Cr",Builder: GK Raj Constructions
"3 BHK Flat for Sale in Kompally, Hyderabad",Aranya Kalanjali,"SUPER AREA
2330 sqft","UNDER CONSTRUCTION
Poss. by Dec '26","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
1.51 Cr",Builder: Beams & Columns Developers LLP
"3 BHK Flat for Sale in Serilingampalle M, Hyderabad",Candeur Crescent,"SUPER AREA
1824 sqft","UNDER CONSTRUCTION
Poss. by Dec '25","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.57 Cr",Builder: Candeur Developers & Builders
"3 BHK Flat for Sale in Sanath Nagar, NH 9, Hyderabad",Kalpataru Avante,"CARPET AREA
1566 sqft","UNDER CONSTRUCTION
Poss. by Dec '26","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
3","₹
1.71 Cr",Builder: Kalpataru Ltd.
"3 BHK Flat for Sale in Pocharam, NH 2 2, Hyderabad",ASBL Springs,"SUPER AREA
1475 sqft","UNDER CONSTRUCTION
Poss. by Sep '24","TRANSACTION
New Property","FURNISHING
Unfurnished","BATHROOM
2","₹
81.9 Lac",Builder: ASBL Ashoka Builders India Pvt Ltd
3 BHK Villa for Sale in Shamirpet Hyderabad,Prajay Treetops,"SUPER AREA
2938 sqft","STATUS
Ready to Move","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
2.11 Cr",Builder: Prajay Engineers Syndicate Ltd.
"3 BHK Flat for Sale in Manchirevula, Outer Ring Road, Hyderabad",Rajapushpa Infina,"SUPER AREA
3080 sqft","UNDER CONSTRUCTION
Poss. by Nov '28","TRANSACTION
New Property","FURNISHING
Unfurnished","CAR PARKING
1 Covered","₹
2.85 Cr",Builder: Rajapushpa Properties Pvt. Ltd.
